"x"
123.7
65.9
127.1
272.6
145.3
65.7
121.3
115.7
312.6
15.9
101.7
91.5
124.7
153.3
309
184.9
271.7
112.5
286.1
94.9
279.9
303
188.3
123.4
143
155.7
369
107.2
149.8
236.4
199.5
206.7
201.5
124.3
308.4
133.2
97.8
212
85.2
304.5
278.3
184
290.2
246.9
8.4
119.4
239.9
290.2
91.7
71.6
235.8
153.7
59.6
140.7
234.6
79
144.6
146.8
174.4
136.8
97
65.8
367.5
232.2
138.8
78.2
113.9
278.3
112.2
81.6
93.1
147.8
222.9
265.8
101.4
139.1
227.4
168
351.2
64.4
191.5
176.8
28.7
93.5
142.7
134.1
166.1
275.9
160.3
230.1
68.7
58.2
70.5
216.3
165
207.3
192.5
179.3
193.9
135.9
289.7
92.7
123.8
280.5
145.9
204.9
132.6
75.4
274.5
238.2
36.2
96.5
260.6
282.8
295.1
167.1
194.8
176.9
243.1
254.2
101.4
133.5
133.5
61.9
167.2
112
244.2
25.5
239.7
164.7
114.7
151.4
245.5
349.4
59.1
166.2
113.5
236.2
213.8
218.5
122.4
161.5
110.8
118.4
173.3
171.1
154
138.5
143.5
116.2
164.5
252.7
231.8
297
170.2
116.7
175.4
226.8
310.9
332
141.5
128.6
247.2
185.7
205.6
144.1
262.5
75.3
182.9
123.2
147.6
139.9
236.6
178
158.3
227.5
190
133.3
205.1
306
128.7
101.9
123.4
113.3
52.4
332.6
252.8
86.9
91.1
163.9
298.7
98.3
175.9
162.6
145.9
141.2
134.1
151.2
140.8
247
